Observation ID,Name,Data Type,"
Latitude",Longitude,Open/Closed,Number of People,Price Range (CHF),Link to Picture,Town
G3_PC24,Ofele ,Restaurant,45° 54’ 9.762” N,8° 54’ 15.9” E,Open,6,N/A,https://drive.google.com/file/d/1GfRFdnmLklDvdspdqcKvqghhlt_Qx1D-/view?usp=sharing,Porto Ceresio
G3_PC25,Banca popolare di sondrio ,Business Services,45° 54’ 7.11” N,8° 54’ 12.87” E,Closed,0,N/A,https://drive.google.com/file/d/16V_XoVBhBJijUvzEGZVbiZkl5Qzvj6dg/view?usp=sharing,Porto Ceresio
G3_PC26,Lavaggio,Retail & Clothing,"45° 54' 10.902"" N","8° 54' 18.87"" E",Closed,0,N/A,https://drive.google.com/file/d/1wIsYy3h-oe5sO_RxKnCsXmQK8eOCCion/view?usp=sharing,Porto Ceresio
G3_PC27,Fioroia ,Retail & Clothing,45° 54’ 7.278” N,8° 54’ 13.032” E,Closed,0,N/A,https://drive.google.com/file/d/1lsYGEHgB79wOaGO25JGa-wtBvC5FiR_k/view?usp=sharing,Porto Ceresio
G3_PC28,WeUnit,Business Services,45° 54’ 7.278” N,8° 54’ 13.032” E,Closed,0,N/A,https://drive.google.com/file/d/1lsYGEHgB79wOaGO25JGa-wtBvC5FiR_k/view?usp=sharing,Porto Ceresio
G3_PC29,Luca chirico bike experience,Business Services,45° 54’ 6.528” N,8° 54’ 12.96” E,Closed,0,N/A,https://drive.google.com/file/d/10y5uCmOimZTVK2iKcXpxvJo140A923j1/view?usp=sharing,Porto Ceresio
G3_PC30,Art cafe ,Restaurant,"45° 54' 5.31"" N","8° 54' 11.868"" E",Open,3,N/A,https://drive.google.com/file/d/1dNYu_OwEpFQ6L0Rm5hOQNfMUbiZSgaRM/view?usp=sharing,Porto Ceresio
G3_PC31,La bellezza e la salute dei tuoi capelli e Della tua pelle,Personal Care and Health,45° 54’ 6.528” N,8° 54’ 12.96” E,Closed,0,N/A,https://drive.google.com/file/d/10y5uCmOimZTVK2iKcXpxvJo140A923j1/view?usp=sharing,Porto Ceresio
G3_PC32,Farmacia ,Personal Care and Health,45° 54’ 6.528” N,8° 54’ 12.96” E,Closed,0,N/A,https://drive.google.com/file/d/10y5uCmOimZTVK2iKcXpxvJo140A923j1/view?usp=sharing,Porto Ceresio
G3_PC33,Immobiliare eresi,Business Services,45° 54’ 5.538” N,8° 54’ 12.018” E,Closed,0,N/A,https://drive.google.com/file/d/1EOUoQbmpAStsiABG3CUn2NqPzUDQFsF_/view?usp=sharing,Porto Ceresio
G3_PC34,Autoscuola ,Business Services,"45° 54' 5.420"" N","8° 54' 12.015"" E",Closed,0,N/A,https://drive.google.com/file/d/1VZEiRdI9sVOv6eD2XvWwYHYbyanACogl/view?usp=sharing,Porto Ceresio
G3_PC35,Dolce Pausa bar pasticceria,Restaurant,"45° 54' 5.442"" N","8° 54' 12.012"" E",Open,3,N/A,https://drive.google.com/file/d/1P0lA_1XZDujnB5M9gSitMG4Kr4rVA8kH/view?usp=sharing,Porto Ceresio
G3_PC36,Officina Ceresio,Business Services,"45° 54' 5.442"" N","8° 54' 12.012"" E",Closed,0,N/A,https://drive.google.com/file/d/1BtneYgOiAdFqOA5422J-QiyqKZdFCHqi/view?usp=sharing,Porto Ceresio
G3_PC37,Hotel il canneto,Business Services,"45° 54' 9.93"" N","8° 54' 9.102"" E",Open,4,N/A,https://drive.google.com/file/d/13AOJASWOt9O1JnSkSxeqhtZ-iDPtkNFO/view?usp=sharing,Porto Ceresio
G3_PC38,Poste italiane,Business Services,"45° 54' 8.43"" N","8° 54' 7.162"" E",Open,1,N/A,https://drive.google.com/file/d/1Gp8shZF14wfqjsxAg3Ps26fDxEULoAPf/view?usp=sharing,Porto Ceresio
G3_PC39,Suki sushi ,Restaurant,"45° 54' 9.93"" N","8° 54' 9.102"" E",Open,10,N/A,https://drive.google.com/file/d/18vt51kTLmNSAC0DtESTHAAB8nZ1qm_Z0/view?usp=sharing,Porto Ceresio
G3_PC40,Biblioteco porta ceresio,Business Services,"45° 54' 5.132"" N","8° 54' 8.5"" E",Closed,0,N/A,https://drive.google.com/file/d/1fNn47pBTfo53af7DU_Rkifxi2YPYvZog/view?usp=sharing,Porto Ceresio
G3_PC41,Max mary ,Personal Care and Health,"45° 54' 9.72"" N","8° 54' 11.0"" E",Open,1,N/A,https://drive.google.com/file/d/1Sjchzmsrd9ZECSpjkAkDAwqhiJe721hf/view?usp=sharing,Porto Ceresio
G3_PC42,Il filo di ariamma,Retail & Clothing,"45° 54' 9.768"" N","8° 54' 11.7"" E",Closed,0,N/A,https://drive.google.com/file/d/1Sjchzmsrd9ZECSpjkAkDAwqhiJe721hf/view?usp=sharing,Porto Ceresio
G3_L0,Christian Watches,Retail & Clothing,"46° 31' 16.068"" N","6° 37' 50.949"" E",N/A,N/A,1000-5000,https://drive.google.com/file/d/1nJHjnjDuPHy-uhvC2I6Yk-LTLFaxbZW0/view?usp=sharing,Lausanne
G3_L1,Kiosque du grand-pont,Business Services,"46° 31' 16.068"" N","6° 37' 50.949"" E",N/A,N/A,5-70,https://drive.google.com/file/d/1pSwaiXuSEA6BDn_V14QuFkVmmik5ylTh/view?usp=sharing,Lausanne
G3_L2,Baloise,Personal Care and Health,"46° 31' 16.483"" N","6° 37' 51.676"" E",N/A,N/A,N/A,https://drive.google.com/file/d/1-dPOW-IpRBiNHDHVBJJd_kypGmq19-kt/view?usp=sharing,Lausanne
G3_L3,Vaudoise Assurance,Business Services,"46° 31' 16.955"" N","6° 37' 50.594"" E",N/A,N/A,N/A,https://drive.google.com/file/d/1lJpvXnWL7VHUu7OyhLjSiDMxOIawORVY/view?usp=sharing,Lausanne
G3_L4,PhotoVision,Retail & Clothing,"46° 31' 17.089"" N","6° 37' 51.425"" E",N/A,N/A,2-10000,https://drive.google.com/file/d/1sB-bLUW53plsqVE8MTnqMrpGqYzEXx4g/view?usp=sharing,Lausanne
G3_L5,Sweetch,Business Services,"46° 31' 17.212"" N","6° 37' 51.421"" E",N/A,N/A,40-140,https://drive.google.com/file/d/1T9eXV6Yyr1tfYbIiqsCOnNGpoTDwh2Ua/view?usp=sharing,Lausanne
G3_L6,Jorge Cardoso Chocolaterie,Restaurant,"46° 31' 17.265"" N","6° 37' 51.811"" E",N/A,N/A,2-50,https://drive.google.com/file/d/1gV09uZySZI7BOkHhiSL_6j75anRLUwJt/view?usp=sharing,Lausanne
G3_L7,Intrigo Gelateria Artigianole,Restaurant,"46° 31' 17.395"" N","6° 37' 51.361"" E",N/A,N/A,4-30,https://drive.google.com/file/d/1dQc2ChWsaMGI-wmTgxIR6woGUZ6Dnuwr/view?usp=sharing,Lausanne
G3_L8,Estheme Cachemire,Retail & Clothing,"46° 31' 17.634"" N","6° 37' 51.354"" E",N/A,N/A,30-300,https://drive.google.com/file/d/1JY6hEkqiWRWlr-rYhH7vxAqLxcluug_o/view?usp=sharing,Lausanne
G3_L9,Coccinelle Café,Restaurant,"46° 31' 18.024"" N","6° 37' 50.918"" E",N/A,N/A,5.50-28.50,https://drive.google.com/file/d/1xLDGmpCSNwE4bn7sD4Q_cY0rS5IVBLvM/view?usp=sharing,Lausanne
G3_L10,Carnier Caiffure,Personal Care and Health,"46° 31' 18.327"" N","6° 37' 51.723"" E",N/A,N/A,16-245,https://drive.google.com/file/d/1C3pHrgzdYBvF7xiuOTllZpH-p9D7bAQg/view?usp=sharing,Lausanne
G3_L11,Lulu & Nenette,Personal Care and Health,"46° 31' 18.267"" N","6° 37' 51.698"" E",N/A,N/A,100-500,https://drive.google.com/file/d/1tNUPS1AE-ggVjGpOKu9Y5YTqK5jpdTEz/view?usp=sharing,Lausanne
G3_L12,Manor,Retail & Clothing,"46° 31' 19.896"" N","6° 37' 52.916"" E",N/A,N/A,10-500,https://drive.google.com/file/d/1BQSr-ZIbu1yh5TxDLIVLPINGGTZCIs3M/view?usp=sharing,Lausanne
G3_L13,Beyouty Salon,Personal Care and Health,"46° 31' 18.656"" N","6° 37' 51.350"" E",N/A,N/A,10-100,https://drive.google.com/file/d/1le_Woi0ckmxEfTFGXUmzx7nlHMng-uOU/view?usp=sharing,Lausanne
G3_L14,Bijouterie Grand St-Jean,Retail & Clothing,"46° 31' 18.675"" N","6° 37' 51.172"" E",N/A,N/A,100-2000,https://drive.google.com/file/d/1lhJa2T79mTaArzy5DLkiLveTYj2xEVaB/view?usp=sharing,Lausanne
G3_L15,We,Retail & Clothing,"46° 31' 18.635"" N","6° 37' 50.949"" E",N/A,N/A,10-300,https://drive.google.com/file/d/18DFKtcwjpI7QHz5LYOfkrzEoVNqVJC5a/view?usp=sharing,Lausanne
G3_L16,Krispy Kreme,Restaurant,"46° 31' 18.417"" N","6° 37' 50.580"" E",N/A,N/A,2.50-50,https://drive.google.com/file/d/1d29Lcowh_n4h0kfiB3XrY5_wPHeaPU22/view?usp=sharing,Lausanne
G3_L17,Amavita Conod,Personal Care and Health,"46° 31' 18.506"" N","6° 37' 49.870"" E",N/A,N/A,5-100,https://drive.google.com/file/d/1Fzmg5jMC45xz8vtT0JH_0_4UfG8R0sUo/view?usp=sharing,Lausanne
G3_L18,Etam Pariss,Retail & Clothing,"46° 31' 18.794"" N","6° 37' 49.893"" E",N/A,N/A,20-200,https://drive.google.com/file/d/1du7InLAxJa4g3XVKtY5EFk1Qf_IsmC2i/view?usp=sharing,Lausanne
G3_L19,Animshop,Retail & Clothing,"46° 31' 19.082"" N","6° 37' 50.842"" E",N/A,N/A,5-500,https://drive.google.com/file/d/11XLy-h-W0Vp0jqmLD6OPL2H6Lo6X5i5b/view?usp=sharing,Lausanne
G3_L20,Drafil,Retail & Clothing,"46° 31' 19.425"" N","6° 37' 50.436"" E",N/A,N/A,10-1000,https://drive.google.com/file/d/1cBJqE-ktgln7cC0oVr_121poTiNo828h/view?usp=sharing,Lausanne
G3_L21,Oakberry Açaí,Restaurant,"46° 31' 19.016"" N","6° 37' 49.687"" E",N/A,N/A,3-20,https://drive.google.com/file/d/1IhfvFgctWeefp6NgHwrfKT1OyrLtaiRM/view?usp=sharing,Lausanne
G3_L22,Bluety,Retail & Clothing,"46° 31' 19.543"" N","6° 37' 49.733"" E",N/A,N/A,100-10000,https://drive.google.com/file/d/1ShKzJ4u95Ls4Vq1B1bhFr6oGqr1zOoI_/view?usp=sharing,Lausanne
G3_L23,Lyca Mobile Presse Souvenirs,Retail & Clothing,"46° 31' 19.849"" N","6° 37' 49.821"" E",N/A,N/A,1-50,https://drive.google.com/file/d/1JJ-YyVf8vJ_O73KXDHiQwddDfrr5W1rx/view?usp=sharing,Lausanne
G3_L24,Tally Weijl,Retail & Clothing,"46° 31' 19.849"" N","6° 37' 49.821"" E",N/A,N/A,10-200,https://drive.google.com/file/d/18g19LBz4N3nL6qCEQP629LFX1EOhPc1X/view?usp=sharing,Lausanne
G3_L25,Salt.,Business Services,"46° 31' 20.184"" N","6° 37' 49.614"" E",N/A,N/A,19.95-1899,https://drive.google.com/file/d/1gAmXxh7nqk6Hp6GdvGkqDBlA0j5cF5mY/view?usp=sharing,Lausanne
G3_L26,McDonald’s,Restaurant,"46° 31' 21.172"" N","6° 37' 50.205"" E",N/A,N/A,2-40,https://drive.google.com/file/d/1qpmZIo6DNZiZUzNFat4rMIi-TYFM30gs/view?usp=sharing,Lausanne
G3_L27,Subdued,Retail & Clothing,"46° 31' 21.260"" N","6° 37' 51.004"" E",N/A,N/A,10-400,https://drive.google.com/file/d/1OnCG-UCenIGoem4XWHPTSRvAh3nAl_fC/view?usp=sharing,Lausanne
G3_L28,Maison Buet Lausanne,Restaurant,"46° 31' 20.783"" N","6° 37' 51.632"" E",N/A,N/A,2-55,https://drive.google.com/file/d/1m7NuOxYjAv0jC_4yxIdvtmFEq1nAKyUO/view?usp=sharing,Lausanne
G3_L29,Doodah,Retail & Clothing,"46° 31' 21.536"" N","6° 37' 51.931"" E",N/A,N/A,30-2000,https://drive.google.com/file/d/119lASIksV37ZTNP0xF1K0bBuTM3minxV/view?usp=sharing,Lausanne
G3_L30,Kuoni,Business Services,"46° 31' 21.018"" N","6° 37' 52.145"" E",N/A,N/A,N/A,https://drive.google.com/file/d/1Y6TTnX7XPQx3K1UX5pRkIm-7QbSbff7T/view?usp=sharing,Lausanne
G3_L31,Amplifon,Business Services,"46° 31' 21.251"" N","6° 37' 52.610"" E",N/A,N/A,N/A,https://drive.google.com/file/d/10DHdALT3C3U4rEO_xZ9MmlpM8Lu_AFMv/view?usp=sharing,Lausanne
G3_L32,Bolia.com,Retail & Clothing,"46° 31' 21.517"" N","6° 37' 52.243"" E",N/A,N/A,100-20000,https://drive.google.com/file/d/1i9o-hiYQ1SR_abHJrk6L1i9H3nXM_JO2/view?usp=sharing,Lausanne
G3_L33,Crazy Wolf,Restaurant,"46° 31' 21.179"" N","6° 37' 52.655"" E",N/A,N/A,16-30,https://drive.google.com/file/d/18217MhJKao1iw7mchAssy0FLMHrFz_tp/view?usp=sharing,Lausanne
G3_L34,Savoréa Saveurs & Créations,Restaurant,"46° 31' 21.074"" N","6° 37' 52.754"" E",N/A,N/A,2-50,https://drive.google.com/file/d/1BOtSmewcaw4KS4JLntFL2YrgLpav94SH/view?usp=sharing,Lausanne
G3_L35,New BeadBox,Retail & Clothing,"46° 31' 22.005"" N","6° 37' 52.771"" E",N/A,N/A,10-300,https://drive.google.com/file/d/1IAXWVpz6-hMIdvmjWcp7aSjSqR56ACaQ/view?usp=sharing,Lausanne
G3_L36,Foot Locker,Retail & Clothing,"46° 31' 21.469"" N","6° 37' 53.563"" E",N/A,N/A,100-600,https://drive.google.com/file/d/1McWtk-vzUQ3A_CFZ0nUsusKLDKEhKgjv/view?usp=sharing,Lausanne
G3_L37,Assos,Retail & Clothing,"46° 31' 21.796"" N","6° 37' 52.830"" E",N/A,N/A,109-5000,https://drive.google.com/file/d/1-jMOyI3bk57bovCAQKrVz3RvlG8hZul7/view?usp=sharing,Lausanne
G3_L38,Mobilezone,Retail & Clothing,"46° 31' 21.644"" N","6° 37' 53.656"" E",N/A,N/A,19-2000,https://drive.google.com/file/d/1yN1CnZSiRCqQCwYkhHxfr-evbN8brpAL/view?usp=sharing,Lausanne
G3_L39,Aeschbach,Retail & Clothing,"46° 31' 22.432"" N","6° 37' 53.202"" E",N/A,N/A,20-500,https://drive.google.com/file/d/1Y3nBWYeiQeBLobt0R3An7rMYMDG4UceN/view?usp=sharing,Lausanne
G3_L40,Perosa Dessous Fashion,Retail & Clothing,"46° 31' 22.204"" N","6° 37' 54.321"" E",N/A,N/A,20-300,https://drive.google.com/file/d/112rYKSQSrvDID75l-fDzgYE2m2zFgqGo/view?usp=sharing,Lausanne
G3_L41,Fun Case,Retail & Clothing,"46° 31' 21.879"" N","6° 37' 54.002"" E",N/A,N/A,20-2000,https://drive.google.com/file/d/1LL6JwSrWHc64-rITSjg0FH8_5RpUIX58/view?usp=sharing,Lausanne
G3_L42,Pylones,Retail & Clothing,"46° 31' 22.687"" N","6° 37' 53.563"" E",N/A,N/A,5-100,https://drive.google.com/file/d/1C0LqpbipP4j--8OARaEXisx5BP9FwdeS/view?usp=sharing,Lausanne
G3_L43,Sun Store,Personal Care and Health,"46° 31' 22.673"" N","6° 37' 54.555"" E",N/A,N/A,10-200,https://drive.google.com/file/d/1Wwyvtv3Bt2u4DdcoNESjGb6v6PRE6OUb/view?usp=sharing,Lausanne
G3_L44,Undiz,Retail & Clothing,"46° 31' 22.819"" N","6° 37' 53.761"" E",N/A,N/A,10-200,https://drive.google.com/file/d/1zNudcn2eE_KDbLWBz3LJ-XV3DZYKI3BU/view?usp=sharing,Lausanne
G3_L45,L’Ecritoire designVivishop,Retail & Clothing,"46° 31' 20.136"" N","6° 38' 9.545"" E",N/A,N/A,2-500,https://drive.google.com/file/d/1coGWt9AGosHp7MyOskjbehtKt7qr1T-e/view?usp=sharing,Lausanne
